id,left_vote,right_vote,votes,ref_path,left_path,right_path,split,is_imagenet,prompt
2,1,0,8,/data/dreamsim_100/ref/000/002.jpg,/data/dreamsim_100/distort/000/002_0.jpg,/data/dreamsim_100/distort/000/002_1.jpg,train,True,grocery store
6,1,0,8,/data/dreamsim_100/ref/000/006.jpg,/data/dreamsim_100/distort/000/006_1.jpg,/data/dreamsim_100/distort/000/006_0.jpg,train,False,gazania
17,1,0,5,/data/dreamsim_100/ref/000/017.jpg,/data/dreamsim_100/distort/000/017_1.jpg,/data/dreamsim_100/distort/000/017_0.jpg,train,True,mask
26,0,1,9,/data/dreamsim_100/ref/000/026.jpg,/data/dreamsim_100/distort/000/026_0.jpg,/data/dreamsim_100/distort/000/026_1.jpg,train,False,badlands
32,1,0,8,/data/dreamsim_100/ref/000/032.jpg,/data/dreamsim_100/distort/000/032_0.jpg,/data/dreamsim_100/distort/000/032_1.jpg,test,False,pharmacy
40,0,1,7,/data/dreamsim_100/ref/000/040.jpg,/data/dreamsim_100/distort/000/040_1.jpg,/data/dreamsim_100/distort/000/040_0.jpg,train,False,sunflower
53,1,0,8,/data/dreamsim_100/ref/000/053.jpg,/data/dreamsim_100/distort/000/053_1.jpg,/data/dreamsim_100/distort/000/053_0.jpg,train,False,diner outdoor
55,1,0,7,/data/dreamsim_100/ref/000/055.jpg,/data/dreamsim_100/distort/000/055_0.jpg,/data/dreamsim_100/distort/000/055_1.jpg,train,False,ramen
56,1,0,5,/data/dreamsim_100/ref/000/056.jpg,/data/dreamsim_100/distort/000/056_1.jpg,/data/dreamsim_100/distort/000/056_0.jpg,train,True,head cabbage
57,0,1,8,/data/dreamsim_100/ref/000/057.jpg,/data/dreamsim_100/distort/000/057_1.jpg,/data/dreamsim_100/distort/000/057_0.jpg,train,False,stable
73,0,1,9,/data/dreamsim_100/ref/000/073.jpg,/data/dreamsim_100/distort/000/073_0.jpg,/data/dreamsim_100/distort/000/073_1.jpg,test,False,mexican aster
79,1,0,6,/data/dreamsim_100/ref/000/079.jpg,/data/dreamsim_100/distort/000/079_1.jpg,/data/dreamsim_100/distort/000/079_0.jpg,train,True,toucan
85,1,0,5,/data/dreamsim_100/ref/000/085.jpg,/data/dreamsim_100/distort/000/085_1.jpg,/data/dreamsim_100/distort/000/085_0.jpg,train,False,fried rice
91,0,1,8,/data/dreamsim_100/ref/000/091.jpg,/data/dreamsim_100/distort/000/091_1.jpg,/data/dreamsim_100/distort/000/091_0.jpg,train,False,iceberg
98,1,0,8,/data/dreamsim_100/ref/000/098.jpg,/data/dreamsim_100/distort/000/098_1.jpg,/data/dreamsim_100/distort/000/098_0.jpg,val,True,Appenzeller
102,0,1,10,/data/dreamsim_100/ref/000/102.jpg,/data/dreamsim_100/distort/000/102_0.jpg,/data/dreamsim_100/distort/000/102_1.jpg,train,False,rock arch
111,0,1,5,/data/dreamsim_100/ref/000/111.jpg,/data/dreamsim_100/distort/000/111_0.jpg,/data/dreamsim_100/distort/000/111_1.jpg,train,True,tailed frog
113,0,1,8,/data/dreamsim_100/ref/000/113.jpg,/data/dreamsim_100/distort/000/113_1.jpg,/data/dreamsim_100/distort/000/113_0.jpg,train,True,Border terrier
114,0,1,6,/data/dreamsim_100/ref/000/114.jpg,/data/dreamsim_100/distort/000/114_1.jpg,/data/dreamsim_100/distort/000/114_0.jpg,train,True,kite
115,0,1,4,/data/dreamsim_100/ref/000/115.jpg,/data/dreamsim_100/distort/000/115_0.jpg,/data/dreamsim_100/distort/000/115_1.jpg,train,True,planetarium
116,1,0,5,/data/dreamsim_100/ref/000/116.jpg,/data/dreamsim_100/distort/000/116_1.jpg,/data/dreamsim_100/distort/000/116_0.jpg,train,True,minibus
121,0,1,7,/data/dreamsim_100/ref/000/121.jpg,/data/dreamsim_100/distort/000/121_0.jpg,/data/dreamsim_100/distort/000/121_1.jpg,train,False,shopping mall indoor
122,1,0,7,/data/dreamsim_100/ref/000/122.jpg,/data/dreamsim_100/distort/000/122_0.jpg,/data/dreamsim_100/distort/000/122_1.jpg,train,False,recreation room
124,0,1,8,/data/dreamsim_100/ref/000/124.jpg,/data/dreamsim_100/distort/000/124_0.jpg,/data/dreamsim_100/distort/000/124_1.jpg,train,False,tiger lily
136,1,0,8,/data/dreamsim_100/ref/000/136.jpg,/data/dreamsim_100/distort/000/136_0.jpg,/data/dreamsim_100/distort/000/136_1.jpg,train,False,ice cream parlor
144,0,1,9,/data/dreamsim_100/ref/000/144.jpg,/data/dreamsim_100/distort/000/144_0.jpg,/data/dreamsim_100/distort/000/144_1.jpg,train,False,bottle
148,0,1,8,/data/dreamsim_100/ref/000/148.jpg,/data/dreamsim_100/distort/000/148_1.jpg,/data/dreamsim_100/distort/000/148_0.jpg,val,True,frilled lizard
150,1,0,8,/data/dreamsim_100/ref/000/150.jpg,/data/dreamsim_100/distort/000/150_1.jpg,/data/dreamsim_100/distort/000/150_0.jpg,train,False,berth
