trial_id,class_name,reference,candidate_0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,correct_label
0,frog,/data/rs_imagenet_100/reference/frog/n01644373_3521.jpg,/data/rs_imagenet_100/distractor/dog/n02092339_3597.jpg,/data/rs_imagenet_100/distractor/bird/n01843065_5063.jpg,/data/rs_imagenet_100/distractor/fish/n02643566_4330.jpg,/data/rs_imagenet_100/distractor/cat/n02123159_6581.jpg,/data/rs_imagenet_100/correct/frog/n01644900_4117.jpg,/data/rs_imagenet_100/distractor/crab/n01981276_2963.jpg,/data/rs_imagenet_100/distractor/monkey/n02484975_9292.jpg,/data/rs_imagenet_100/distractor/insect/n02233338_13774.jpg,4
1,cat,/data/rs_imagenet_100/reference/cat/n02123045_10032.jpg,/data/rs_imagenet_100/distractor/bird/n01807496_1719.jpg,/data/rs_imagenet_100/correct/cat/n02123045_10290.jpg,/data/rs_imagenet_100/distractor/fish/n02640242_2113.jpg,/data/rs_imagenet_100/distractor/frog/n01644900_4520.jpg,/data/rs_imagenet_100/distractor/dog/n02101556_2190.jpg,/data/rs_imagenet_100/distractor/crab/n01980166_7935.jpg,/data/rs_imagenet_100/distractor/monkey/n02493793_9601.jpg,/data/rs_imagenet_100/distractor/insect/n02168699_1154.jpg,1
2,fish,/data/rs_imagenet_100/reference/fish/n02655020_20657.jpg,/data/rs_imagenet_100/distractor/frog/n01644900_22170.jpg,/data/rs_imagenet_100/distractor/dog/n02101388_10594.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_12768.jpg,/data/rs_imagenet_100/distractor/insect/n02206856_6962.jpg,/data/rs_imagenet_100/correct/fish/n02641379_30947.jpg,/data/rs_imagenet_100/distractor/bird/n01847000_4868.jpg,/data/rs_imagenet_100/distractor/monkey/n02483362_12193.jpg,/data/rs_imagenet_100/distractor/cat/n02123597_4995.jpg,4
3,dog,/data/rs_imagenet_100/reference/dog/n02102973_5414.jpg,/data/rs_imagenet_100/distractor/crab/n01980166_8362.jpg,/data/rs_imagenet_100/distractor/monkey/n02493793_1997.jpg,/data/rs_imagenet_100/distractor/bird/n01843065_1200.jpg,/data/rs_imagenet_100/distractor/cat/n02123394_2065.jpg,/data/rs_imagenet_100/distractor/insect/n02174001_2494.jpg,/data/rs_imagenet_100/distractor/frog/n01641577_22978.jpg,/data/rs_imagenet_100/correct/dog/n02105162_9891.jpg,/data/rs_imagenet_100/distractor/fish/n02640242_6897.jpg,6
4,bird,/data/rs_imagenet_100/reference/bird/n01843383_9743.jpg,/data/rs_imagenet_100/correct/bird/n01819313_824.jpg,/data/rs_imagenet_100/distractor/insect/n02256656_12018.jpg,/data/rs_imagenet_100/distractor/monkey/n02481823_3257.jpg,/data/rs_imagenet_100/distractor/cat/n02123394_2690.jpg,/data/rs_imagenet_100/distractor/fish/n02643566_3020.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_3816.jpg,/data/rs_imagenet_100/distractor/dog/n02086910_15408.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_9669.jpg,0
5,insect,/data/rs_imagenet_100/reference/insect/n02165456_6511.jpg,/data/rs_imagenet_100/distractor/bird/n01847000_7246.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_2149.jpg,/data/rs_imagenet_100/distractor/fish/n02641379_27839.jpg,/data/rs_imagenet_100/correct/insect/n02226429_13887.jpg,/data/rs_imagenet_100/distractor/cat/n02123597_13552.jpg,/data/rs_imagenet_100/distractor/dog/n02106030_7684.jpg,/data/rs_imagenet_100/distractor/frog/n01644900_13323.jpg,/data/rs_imagenet_100/distractor/monkey/n02486261_16007.jpg,3
6,crab,/data/rs_imagenet_100/reference/crab/n01981276_12451.jpg,/data/rs_imagenet_100/distractor/cat/n02123394_1200.jpg,/data/rs_imagenet_100/distractor/fish/n02643566_6582.jpg,/data/rs_imagenet_100/distractor/monkey/n02483708_924.jpg,/data/rs_imagenet_100/distractor/insect/n02226429_16302.jpg,/data/rs_imagenet_100/correct/crab/n01978287_12082.jpg,/data/rs_imagenet_100/distractor/dog/n02094433_1335.jpg,/data/rs_imagenet_100/distractor/frog/n01641577_19688.jpg,/data/rs_imagenet_100/distractor/bird/n01797886_18701.jpg,4
7,monkey,/data/rs_imagenet_100/reference/monkey/n02483708_3084.jpg,/data/rs_imagenet_100/distractor/crab/n01981276_17850.jpg,/data/rs_imagenet_100/distractor/cat/n02123159_4513.jpg,/data/rs_imagenet_100/distractor/frog/n01641577_1011.jpg,/data/rs_imagenet_100/distractor/dog/n02100236_8415.jpg,/data/rs_imagenet_100/distractor/bird/n01855032_130.jpg,/data/rs_imagenet_100/correct/monkey/n02487347_6427.jpg,/data/rs_imagenet_100/distractor/insect/n02259212_3316.jpg,/data/rs_imagenet_100/distractor/fish/n02640242_7387.jpg,5
8,fish,/data/rs_imagenet_100/reference/fish/n02640242_7200.jpg,/data/rs_imagenet_100/distractor/dog/n02105641_14475.jpg,/data/rs_imagenet_100/distractor/bird/n01860187_7878.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_7300.jpg,/data/rs_imagenet_100/distractor/crab/n01980166_1798.jpg,/data/rs_imagenet_100/distractor/cat/n02123597_6410.jpg,/data/rs_imagenet_100/distractor/insect/n02231487_6303.jpg,/data/rs_imagenet_100/correct/fish/n02536864_6408.jpg,/data/rs_imagenet_100/distractor/monkey/n02484975_9532.jpg,6
9,dog,/data/rs_imagenet_100/reference/dog/n02085620_7700.jpg,/data/rs_imagenet_100/distractor/bird/n01798484_3092.jpg,/data/rs_imagenet_100/distractor/insect/n02169497_4495.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_7352.jpg,/data/rs_imagenet_100/distractor/cat/n02123597_16975.jpg,/data/rs_imagenet_100/distractor/monkey/n02486261_18419.jpg,/data/rs_imagenet_100/correct/dog/n02091032_21.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_1122.jpg,/data/rs_imagenet_100/distractor/fish/n02641379_1716.jpg,5
10,monkey,/data/rs_imagenet_100/reference/monkey/n02483362_9099.jpg,/data/rs_imagenet_100/distractor/cat/n02123045_9669.jpg,/data/rs_imagenet_100/distractor/fish/n02606052_5596.jpg,/data/rs_imagenet_100/distractor/bird/n01806567_14536.jpg,/data/rs_imagenet_100/distractor/frog/n01641577_1195.jpg,/data/rs_imagenet_100/distractor/insect/n02268443_41185.jpg,/data/rs_imagenet_100/correct/monkey/n02490219_7527.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_8326.jpg,/data/rs_imagenet_100/distractor/dog/n02093428_2617.jpg,5
11,cat,/data/rs_imagenet_100/reference/cat/n02123045_1934.jpg,/data/rs_imagenet_100/distractor/dog/n02089973_9612.jpg,/data/rs_imagenet_100/distractor/monkey/n02492660_5871.jpg,/data/rs_imagenet_100/distractor/crab/n01981276_13334.jpg,/data/rs_imagenet_100/correct/cat/n02123394_4945.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_10714.jpg,/data/rs_imagenet_100/distractor/insect/n02264363_16396.jpg,/data/rs_imagenet_100/distractor/bird/n01797886_15707.jpg,/data/rs_imagenet_100/distractor/fish/n02536864_16129.jpg,3
12,frog,/data/rs_imagenet_100/reference/frog/n01641577_2270.jpg,/data/rs_imagenet_100/distractor/crab/n01980166_8873.jpg,/data/rs_imagenet_100/distractor/cat/n02123597_10203.jpg,/data/rs_imagenet_100/distractor/fish/n02526121_27740.jpg,/data/rs_imagenet_100/distractor/dog/n02091134_9154.jpg,/data/rs_imagenet_100/distractor/bird/n01819313_6573.jpg,/data/rs_imagenet_100/distractor/insect/n02172182_10992.jpg,/data/rs_imagenet_100/correct/frog/n01641577_8693.jpg,/data/rs_imagenet_100/distractor/monkey/n02480495_5368.jpg,6
13,crab,/data/rs_imagenet_100/reference/crab/n01981276_1089.jpg,/data/rs_imagenet_100/distractor/bird/n01855672_21595.jpg,/data/rs_imagenet_100/correct/crab/n01980166_5903.jpg,/data/rs_imagenet_100/distractor/dog/n02095889_3389.jpg,/data/rs_imagenet_100/distractor/cat/n02123159_8086.jpg,/data/rs_imagenet_100/distractor/fish/n02641379_4437.jpg,/data/rs_imagenet_100/distractor/frog/n01641577_12725.jpg,/data/rs_imagenet_100/distractor/monkey/n02489166_10340.jpg,/data/rs_imagenet_100/distractor/insect/n02259212_1790.jpg,1
14,bird,/data/rs_imagenet_100/reference/bird/n01806143_3252.jpg,/data/rs_imagenet_100/correct/bird/n01860187_20681.jpg,/data/rs_imagenet_100/distractor/insect/n02226429_11816.jpg,/data/rs_imagenet_100/distractor/cat/n02123045_11362.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_1189.jpg,/data/rs_imagenet_100/distractor/monkey/n02488702_4959.jpg,/data/rs_imagenet_100/distractor/fish/n02526121_5493.jpg,/data/rs_imagenet_100/distractor/frog/n01644900_19527.jpg,/data/rs_imagenet_100/distractor/dog/n02099267_1392.jpg,0
15,insect,/data/rs_imagenet_100/reference/insect/n02172182_1327.jpg,/data/rs_imagenet_100/distractor/crab/n01978287_9616.jpg,/data/rs_imagenet_100/distractor/monkey/n02490219_6688.jpg,/data/rs_imagenet_100/distractor/bird/n01843383_716.jpg,/data/rs_imagenet_100/distractor/frog/n01641577_7261.jpg,/data/rs_imagenet_100/distractor/dog/n02105505_324.jpg,/data/rs_imagenet_100/distractor/cat/n02123159_5318.jpg,/data/rs_imagenet_100/correct/insect/n02167151_3675.jpg,/data/rs_imagenet_100/distractor/fish/n02514041_5971.jpg,6
16,crab,/data/rs_imagenet_100/reference/crab/n01978287_5195.jpg,/data/rs_imagenet_100/distractor/insect/n02206856_7308.jpg,/data/rs_imagenet_100/distractor/monkey/n02489166_10527.jpg,/data/rs_imagenet_100/distractor/fish/n02606052_2521.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_3730.jpg,/data/rs_imagenet_100/distractor/cat/n02124075_8786.jpg,/data/rs_imagenet_100/correct/crab/n01981276_2069.jpg,/data/rs_imagenet_100/distractor/bird/n01820546_6547.jpg,/data/rs_imagenet_100/distractor/dog/n02091635_2183.jpg,5
17,dog,/data/rs_imagenet_100/reference/dog/n02097474_7272.jpg,/data/rs_imagenet_100/distractor/monkey/n02493793_2839.jpg,/data/rs_imagenet_100/distractor/fish/n02640242_2831.jpg,/data/rs_imagenet_100/correct/dog/n02111277_2304.jpg,/data/rs_imagenet_100/distractor/crab/n01980166_1943.jpg,/data/rs_imagenet_100/distractor/cat/n02124075_9738.jpg,/data/rs_imagenet_100/distractor/bird/n01820546_4673.jpg,/data/rs_imagenet_100/distractor/insect/n02264363_12756.jpg,/data/rs_imagenet_100/distractor/frog/n01644900_21385.jpg,2
18,frog,/data/rs_imagenet_100/reference/frog/n01644373_3840.jpg,/data/rs_imagenet_100/distractor/dog/n02109525_7796.jpg,/data/rs_imagenet_100/distractor/crab/n01981276_9177.jpg,/data/rs_imagenet_100/distractor/monkey/n02492660_3728.jpg,/data/rs_imagenet_100/correct/frog/n01644900_11197.jpg,/data/rs_imagenet_100/distractor/bird/n01798484_22039.jpg,/data/rs_imagenet_100/distractor/fish/n02641379_37272.jpg,/data/rs_imagenet_100/distractor/insect/n02172182_1142.jpg,/data/rs_imagenet_100/distractor/cat/n02123394_1740.jpg,3
19,fish,/data/rs_imagenet_100/reference/fish/n02526121_7630.jpg,/data/rs_imagenet_100/distractor/cat/n02123597_13926.jpg,/data/rs_imagenet_100/distractor/crab/n01981276_16241.jpg,/data/rs_imagenet_100/distractor/dog/n02093754_6419.jpg,/data/rs_imagenet_100/distractor/insect/n02264363_2945.jpg,/data/rs_imagenet_100/distractor/bird/n01818515_8299.jpg,/data/rs_imagenet_100/distractor/frog/n01644900_21832.jpg,/data/rs_imagenet_100/distractor/monkey/n02492660_5636.jpg,/data/rs_imagenet_100/correct/fish/n02643566_4000.jpg,7
20,monkey,/data/rs_imagenet_100/reference/monkey/n02483708_5086.jpg,/data/rs_imagenet_100/distractor/bird/n01820546_1490.jpg,/data/rs_imagenet_100/distractor/cat/n02123597_19034.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_2527.jpg,/data/rs_imagenet_100/distractor/dog/n02090721_1864.jpg,/data/rs_imagenet_100/distractor/insect/n02226429_12615.jpg,/data/rs_imagenet_100/correct/monkey/n02493509_14396.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_4360.jpg,/data/rs_imagenet_100/distractor/fish/n02643566_4259.jpg,5
21,insect,/data/rs_imagenet_100/reference/insect/n02167151_5151.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_225.jpg,/data/rs_imagenet_100/distractor/fish/n02641379_24286.jpg,/data/rs_imagenet_100/distractor/cat/n02124075_521.jpg,/data/rs_imagenet_100/distractor/dog/n02090721_278.jpg,/data/rs_imagenet_100/correct/insect/n02233338_4168.jpg,/data/rs_imagenet_100/distractor/monkey/n02493509_945.jpg,/data/rs_imagenet_100/distractor/crab/n01981276_1311.jpg,/data/rs_imagenet_100/distractor/bird/n01843065_8597.jpg,4
22,bird,/data/rs_imagenet_100/reference/bird/n01806567_6405.jpg,/data/rs_imagenet_100/distractor/frog/n01641577_12090.jpg,/data/rs_imagenet_100/distractor/dog/n02105412_3296.jpg,/data/rs_imagenet_100/distractor/fish/n02643566_671.jpg,/data/rs_imagenet_100/distractor/monkey/n02481823_26407.jpg,/data/rs_imagenet_100/correct/bird/n01843383_12427.jpg,/data/rs_imagenet_100/distractor/crab/n01978287_3214.jpg,/data/rs_imagenet_100/distractor/insect/n02236044_8733.jpg,/data/rs_imagenet_100/distractor/cat/n02123045_463.jpg,4
23,cat,/data/rs_imagenet_100/reference/cat/n02123394_1699.jpg,/data/rs_imagenet_100/distractor/monkey/n02484975_2731.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_905.jpg,/data/rs_imagenet_100/distractor/fish/n02536864_32529.jpg,/data/rs_imagenet_100/distractor/insect/n02190166_960.jpg,/data/rs_imagenet_100/correct/cat/n02124075_169.jpg,/data/rs_imagenet_100/distractor/bird/n01855032_7355.jpg,/data/rs_imagenet_100/distractor/dog/n02099267_2585.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_9205.jpg,4
24,insect,/data/rs_imagenet_100/reference/insect/n02177972_1995.jpg,/data/rs_imagenet_100/distractor/monkey/n02489166_13512.jpg,/data/rs_imagenet_100/correct/insect/n02172182_4665.jpg,/data/rs_imagenet_100/distractor/dog/n02094114_7239.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_2953.jpg,/data/rs_imagenet_100/distractor/fish/n02536864_3823.jpg,/data/rs_imagenet_100/distractor/cat/n02124075_13224.jpg,/data/rs_imagenet_100/distractor/bird/n01855672_9222.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_5870.jpg,1
25,frog,/data/rs_imagenet_100/reference/frog/n01644900_10220.jpg,/data/rs_imagenet_100/distractor/fish/n02640242_1622.jpg,/data/rs_imagenet_100/distractor/cat/n02123597_2522.jpg,/data/rs_imagenet_100/distractor/monkey/n02493793_2916.jpg,/data/rs_imagenet_100/distractor/dog/n02093428_897.jpg,/data/rs_imagenet_100/distractor/bird/n01797886_15587.jpg,/data/rs_imagenet_100/correct/frog/n01644373_1108.jpg,/data/rs_imagenet_100/distractor/insect/n02174001_10071.jpg,/data/rs_imagenet_100/distractor/crab/n01978287_11104.jpg,5
26,cat,/data/rs_imagenet_100/reference/cat/n02123045_2273.jpg,/data/rs_imagenet_100/distractor/frog/n01644373_10876.jpg,/data/rs_imagenet_100/distractor/crab/n01978455_7335.jpg,/data/rs_imagenet_100/distractor/insect/n02177972_9570.jpg,/data/rs_imagenet_100/correct/cat/n02123597_2061.jpg,/data/rs_imagenet_100/distractor/monkey/n02488702_404.jpg,/data/rs_imagenet_100/distractor/dog/n02110627_5021.jpg,/data/rs_imagenet_100/distractor/fish/n02640242_2397.jpg,/data/rs_imagenet_100/distractor/bird/n01797886_20022.jpg,3
